STATEFP,CD116FP,GEOID,NAMELSAD,LSAD,CDSESSN,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,NUMPOINTSbreweries
53,02,5302,Congressional District 2,C2,116,G5200,N,-1664654495,-1611408139,+48.3753949,-122.5976996,31
53,09,5309,Congressional District 9,C2,116,G5200,N,475212865,104450286,+47.4587305,-122.2584711,10
53,06,5306,Congressional District 6,C2,116,G5200,N,2147483647,2147483647,+47.6388582,-123.5509405,33
53,08,5308,Congressional District 8,C2,116,G5200,N,2147483647,370410119,+47.3623847,-121.0393849,25
34,08,3408,Congressional District 8,C2,116,G5200,N,141495250,38082761,+40.7239266,-074.1064956,2
08,01,0801,Congressional District 1,C2,116,G5200,N,491646356,7076638,+39.7322859,-104.9087582,60
08,03,0803,Congressional District 3,C2,116,G5200,N,2147483647,388259104,+38.7432544,-107.3448493,19
08,05,0805,Congressional District 5,C2,116,G5200,N,2147483647,61234902,+38.8154076,-105.3441513,26
08,04,0804,Congressional District 4,C2,116,G5200,N,2147483647,438848484,+39.0706831,-103.4138530,25
08,07,0807,Congressional District 7,C2,116,G5200,N,876592983,27439545,+39.8266706,-105.0408542,20
08,02,0802,Congressional District 2,C2,116,G5200,N,2147483647,236595196,+40.1370840,-105.7090836,68
08,06,0806,Congressional District 6,C2,116,G5200,N,1227600079,22167724,+39.7550881,-104.7653511,22
24,01,2401,Congressional District 1,C2,116,G5200,N,2147483647,-259164428,+38.7684710,-075.9588863,13
24,03,2403,Congressional District 3,C2,116,G5200,N,788544340,252344417,+39.1571515,-076.6766922,12
24,04,2404,Congressional District 4,C2,116,G5200,N,771403497,48178407,+38.7560928,-077.0260243,1
24,05,2405,Congressional District 5,C2,116,G5200,N,-454870941,2066469028,+38.4718173,-076.7120357,8
24,07,2407,Congressional District 7,C2,116,G5200,N,1264524922,14715020,+39.3407655,-077.1858835,6
24,02,2402,Congressional District 2,C2,116,G5200,N,902965456,440369386,+39.3395186,-076.4287016,3
24,06,2406,Congressional District 6,C2,116,G5200,N,2147483647,98039271,+39.2881272,-079.4820308,12
24,08,2408,Congressional District 8,C2,116,G5200,N,-2068710629,24048561,+39.4222951,-077.2420033,8
