ALAND,AWATER,CD116FP,CDSESSN,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAMELSAD,NUMPOINTSairports,STATEFP,amtrak,breweries,fairgrounds,farms,fortune,hospitals,military,mobilehome,museums,result,sportsvenues,starbucks,amtrak_alpha_pct,breweries_alpha_pct,fairgrounds_alpha_pct,fortune_alpha_pct,hospitals_alpha_pct,mobilehome_alpha_pct,museums_alpha_pct,sportsvenues_alpha_pct,starbucks_alpha_pct,farms_alpha_pct,military_alpha_pct
2147483647,2147483647,02,116,N,2302,+45.5100010,-069.0853097,C2,G5200,Congressional District 2,38,23,0,29,2,5523,0,28,7,161,303,,1,5,0.0,108.75,127.5,0.0,92.72727272727273,78.05133079847909,255.0,31.875,9.23913043478261,39.284937238493725,85.0
2147483647,415476120,07,116,N,4707,+35.6333893,-087.8333421,C2,G5200,Congressional District 7,14,47,0,4,0,13249,3,17,1,62,66,R,1,17,0.0,15.0,0.0,21.25,56.298701298701296,30.05703422053232,55.54455445544554,31.875,31.41304347826087,94.2397489539749,12.142857142857142
2147483647,278544192,02,116,N,4702,+36.0503605,-083.8211884,C2,G5200,Congressional District 2,3,47,0,9,1,5214,0,19,1,123,65,R,2,30,0.0,33.75,63.75,0.0,62.922077922077925,59.629277566539926,54.7029702970297,63.75,55.43478260869565,37.08702928870293,12.142857142857142
247592486,1850633,05,116,N,1705,+41.9303655,-087.8309020,C2,G5200,Congressional District 5,1,17,0,13,0,21,4,9,0,1,50,D,2,81,0.0,48.75,0.0,28.333333333333332,29.805194805194805,0.4847908745247148,42.07920792079208,63.75,149.67391304347828,0.1493723849372385,0.0
2147483647,183129836,16,116,N,1716,+41.3915234,-088.7991966,C2,G5200,Congressional District 16,13,17,5,4,0,10468,0,17,2,79,107,R,2,18,106.25,15.0,0.0,0.0,56.298701298701296,38.29847908745247,90.04950495049505,63.75,33.26086956521739,74.45857740585774,24.285714285714285
2147483647,216308900,13,116,N,1713,+39.5156354,-089.5198424,C2,G5200,Congressional District 13,6,17,4,11,1,7760,1,21,1,100,142,R,4,19,85.0,41.25,63.75,7.083333333333333,69.54545454545455,48.47908745247148,119.50495049504951,127.5,35.108695652173914,55.19665271966527,12.142857142857142
2147483647,40261060,50,116,N,0650,+33.1135481,-116.6225898,C2,G5200,Congressional District 50,5,06,0,22,0,4302,0,6,1,217,46,R,0,59,0.0,82.5,0.0,0.0,19.87012987012987,105.19961977186311,38.71287128712871,0.0,109.02173913043478,30.599999999999998,12.142857142857142
2147483647,99793011,23,116,N,0623,+35.6106838,-118.5390568,C2,G5200,Congressional District 23,13,06,1,4,0,3373,0,17,1,189,56,R,2,48,21.25,15.0,0.0,0.0,56.298701298701296,91.6254752851711,47.12871287128713,63.75,88.69565217391305,23.99205020920502,12.142857142857142
2147483647,444227838,08,116,N,0608,+35.6625568,-116.8195456,C2,G5200,Congressional District 8,21,06,3,8,0,1016,0,14,8,293,54,R,0,34,63.75,30.0,0.0,0.0,46.36363636363637,142.04372623574145,45.445544554455445,0.0,62.82608695652174,7.226778242677824,97.14285714285714
2147483647,346793272,17,116,N,1717,+41.3894669,-090.2186532,C2,G5200,Congressional District 17,16,17,2,8,0,9730,2,20,3,79,149,D,2,8,42.5,30.0,0.0,14.166666666666666,66.23376623376623,38.29847908745247,125.3960396039604,63.75,14.782608695652174,69.2092050209205,36.42857142857142
